P_020 Weekly Audit â€” 2026-03-15 15:05:09
OK: RKLB 2025-06-09 system=TOS_Import exits=1 status=closed
OK: LQDA 2025-06-09 system=TOS_Import exits=1 status=closed
OK: INTC 2025-06-09 system=TOS_Import exits=3 status=closed
OK: NVDA 2025-06-09 system=TOS_Import exits=3 status=closed
OK: BAC 2025-06-09 system=TOS_Import exits=2 status=closed
OK: BBY 2025-06-09 system=TOS_Import exits=3 status=closed
OK: MOS 2025-06-09 system=TOS_Import exits=2 status=closed
OK: ROKU 2025-06-06 system=TOS_Import exits=2 status=closed
OK: UPXI 2025-06-05 system=TOS_Import exits=1 status=closed
OK: PENG 2025-06-04 system=TOS_Import exits=1 status=closed
OK: UBS 2025-06-03 system=TOS_Import exits=1 status=closed
OK: NEM 2025-06-03 system=TOS_Import exits=1 status=closed
OK: BGC 2025-06-03 system=TOS_Import exits=1 status=closed
OK: LMND 2025-06-02 system=TOS_Import exits=3 status=closed
OK: DLR 2025-05-29 system=TOS_Import exits=1 status=closed
OK: MS 2025-05-28 system=TOS_Import exits=3 status=closed
OK: IBM 2025-05-28 system=TOS_Import exits=3 status=closed
OK: AMZN 2025-05-28 system=TOS_Import exits=3 status=closed
OK: PANW 2025-05-27 system=TOS_Import exits=1 status=closed
OK: C 2025-05-27 system=TOS_Import exits=3 status=closed
OK: FSM 2025-05-23 system=TOS_Import exits=1 status=closed
OK: SAND 2025-05-22 system=TOS_Import exits=1 status=closed
OK: GDX 2025-05-20 system=TOS_Import exits=3 status=closed
OK: PNC 2025-05-19 system=TOS_Import exits=1 status=closed
OK: UAL 2025-05-19 system=TOS_Import exits=2 status=closed
OK: CME 2025-05-16 system=TOS_Import exits=2 status=closed
OK: KTTA 2025-05-14 system=TOS_Import exits=1 status=closed
OK: IBM 2025-05-14 system=TOS_Import exits=3 status=closed
OK: CAL 2025-05-13 system=TOS_Import exits=1 status=closed
OK: RGLD 2025-05-12 system=TOS_Import exits=1 status=closed
OK: WMT 2025-05-12 system=TOS_Import exits=3 status=closed
OK: LRCX 2025-05-12 system=TOS_Import exits=3 status=closed
OK: MS 2025-05-12 system=TOS_Import exits=3 status=closed
OK: NEE 2025-05-12 system=TOS_Import exits=2 status=closed
OK: BITX 2025-05-12 system=TOS_Import exits=1 status=closed
OK: SCHW 2025-05-07 system=TOS_Import exits=3 status=closed
OK: HWM 2025-05-06 system=TOS_Import exits=1 status=closed
OK: HOOD 2025-05-05 system=TOS_Import exits=3 status=closed
OK: MRNA 2025-05-05 system=TOS_Import exits=1 status=closed
OK: BBY 2025-05-05 system=TOS_Import exits=3 status=partial
OK: BMY 2025-05-05 system=TOS_Import exits=3 status=closed
OK: BMY 2025-05-05 system=TOS_Import exits=3 status=closed
OK: SBH 2025-05-02 system=TOS_Import exits=1 status=closed
OK: LOW 2025-05-02 system=TOS_Import exits=1 status=closed
OK: C 2025-05-02 system=TOS_Import exits=3 status=closed
OK: DIS 2025-05-02 system=TOS_Import exits=2 status=closed
OK: DUK 2025-05-01 system=TOS_Import exits=1 status=closed
OK: MSFT 2025-05-01 system=TOS_Import exits=1 status=closed
OK: SOFI 2025-04-29 system=TOS_Import exits=3 status=closed
OK: MA 2025-04-28 system=TOS_Import exits=1 status=closed
OK: CCL 2025-04-28 system=TOS_Import exits=1 status=closed
OK: DIS 2025-04-28 system=TOS_Import exits=2 status=closed
OK: IBM 2025-04-28 system=TOS_Import exits=3 status=closed
OK: ZM 2025-04-28 system=TOS_Import exits=1 status=closed
OK: NVDA 2025-04-25 system=TOS_Import exits=3 status=closed
OK: PLTR 2025-04-23 system=TOS_Import exits=3 status=partial
OK: WMT 2025-04-23 system=TOS_Import exits=3 status=closed
OK: TIGO 2025-04-22 system=TOS_Import exits=2 status=closed
OK: MARA 2025-04-22 system=TOS_Import exits=2 status=closed
OK: MSTR 2025-04-22 system=TOS_Import exits=1 status=closed
OK: SBUX 2025-04-21 system=TOS_Import exits=1 status=closed
OK: CVS 2025-04-21 system=TOS_Import exits=1 status=closed
OK: MO 2025-04-17 system=TOS_Import exits=1 status=closed
OK: GLD 2025-04-17 system=TOS_Import exits=1 status=closed
OK: GRPN 2025-04-16 system=TOS_Import exits=1 status=closed
OK: MOS 2025-04-16 system=TOS_Import exits=2 status=closed
OK: PLTR 2025-04-15 system=TOS_Import exits=3 status=closed
OK: MAG 2025-04-15 system=TOS_Import exits=2 status=closed
OK: UUU 2025-04-15 system=TOS_Import exits=1 status=closed
OK: PLTR 2025-04-14 system=TOS_Import exits=3 status=partial
OK: NVDA 2025-04-14 system=TOS_Import exits=3 status=closed
OK: ROST 2025-04-14 system=TOS_Import exits=1 status=closed
OK: KR 2025-04-11 system=TOS_Import exits=3 status=closed
OK: BMY 2025-04-10 system=TOS_Import exits=3 status=closed
OK: GDX 2025-04-09 system=TOS_Import exits=3 status=closed
OK: PLTR 2025-04-08 system=TOS_Import exits=3 status=closed
OK: CAH 2025-04-08 system=TOS_Import exits=3 status=closed
OK: HIG 2025-04-03 system=TOS_Import exits=1 status=closed
OK: COMP 2025-04-02 system=TOS_Import exits=2 status=closed
OK: PPC 2025-04-02 system=TOS_Import exits=1 status=closed
OK: C 2025-03-31 system=TOS_Import exits=3 status=closed
OK: NTAP 2025-03-27 system=TOS_Import exits=1 status=closed
OK: TSLA 2025-03-27 system=TOS_Import exits=1 status=closed
OK: COP 2025-03-26 system=TOS_Import exits=3 status=closed
OK: SONY 2025-03-26 system=TOS_Import exits=2 status=closed
OK: NVDA 2025-03-25 system=TOS_Import exits=3 status=closed
OK: AMD 2025-03-24 system=TOS_Import exits=3 status=closed
OK: SCHW 2025-03-24 system=TOS_Import exits=3 status=closed
OK: KO 2025-03-24 system=TOS_Import exits=2 status=closed
OK: JNJ 2025-03-17 system=TOS_Import exits=1 status=closed
OK: CAH 2025-03-10 system=TOS_Import exits=3 status=closed
OK: C 2025-03-10 system=TOS_Import exits=3 status=closed
OK: BEKE 2025-03-06 system=TOS_Import exits=1 status=closed
OK: DGICA 2025-03-04 system=TOS_Import exits=2 status=closed
OK: AAOI 2025-03-03 system=TOS_Import exits=1 status=closed
OK: CMA 2025-03-03 system=TOS_Import exits=1 status=closed
OK: ATEC 2025-02-28 system=TOS_Import exits=1 status=closed
OK: 92340V107 2025-02-28 system=TOS_Import exits=1 status=closed
OK: XPEV 2025-02-27 system=TOS_Import exits=2 status=closed
OK: NEXA 2025-02-27 system=TOS_Import exits=1 status=closed
OK: NFLX 2025-02-25 system=TOS_Import exits=1 status=closed
OK: META 2025-02-25 system=TOS_Import exits=1 status=closed
OK: DOCU 2025-02-24 system=TOS_Import exits=3 status=closed
OK: DOCU 2025-02-24 system=TOS_Import exits=3 status=closed
OK: NCTY 2025-02-24 system=TOS_Import exits=1 status=closed
OK: ANET 2025-02-21 system=TOS_Import exits=2 status=closed
OK: CPIX 2025-02-21 system=TOS_Import exits=1 status=closed
OK: SONY 2025-02-21 system=TOS_Import exits=2 status=closed
OK: KC 2025-02-20 system=TOS_Import exits=2 status=closed
OK: FUTU 2025-02-20 system=TOS_Import exits=2 status=closed
OK: TDOC 2025-02-20 system=TOS_Import exits=1 status=closed
OK: SUPN 2025-02-19 system=TOS_Import exits=1 status=closed
OK: WFC 2025-02-19 system=TOS_Import exits=1 status=closed
OK: AGCO 2025-02-19 system=TOS_Import exits=1 status=closed
OK: ACHR 2025-02-18 system=TOS_Import exits=1 status=closed
OK: TPR 2025-02-18 system=TOS_Import exits=1 status=closed
OK: LSAK 2025-02-18 system=TOS_Import exits=1 status=closed
OK: DOX 2025-02-18 system=TOS_Import exits=1 status=closed
OK: MS 2025-02-18 system=TOS_Import exits=3 status=closed
OK: RTX 2025-02-18 system=TOS_Import exits=1 status=closed
OK: RBLX 2025-02-18 system=TOS_Import exits=3 status=closed
OK: IBEX 2025-02-14 system=TOS_Import exits=1 status=closed
OK: AIFF 2025-02-14 system=TOS_Import exits=1 status=closed
OK: GRRR 2025-02-14 system=TOS_Import exits=3 status=closed
OK: EDR 2025-02-14 system=TOS_Import exits=1 status=closed
OK: AAP 2025-02-13 system=TOS_Import exits=2 status=closed
OK: SEGG 2025-02-13 system=TOS_Import exits=1 status=closed
OK: ORMP 2025-02-13 system=TOS_Import exits=1 status=closed
OK: BMY 2025-02-10 system=TOS_Import exits=3 status=closed
OK: SPY 2025-02-10 system=TOS_Import exits=3 status=closed
OK: VATE 2025-02-07 system=TOS_Import exits=1 status=closed
OK: SSYS 2025-02-06 system=TOS_Import exits=1 status=closed
OK: VYX 2025-02-06 system=TOS_Import exits=1 status=closed
OK: OPFI 2025-02-05 system=TOS_Import exits=2 status=closed
OK: KC 2025-02-05 system=TOS_Import exits=2 status=closed
OK: MAIA 2025-02-05 system=TOS_Import exits=1 status=closed
OK: IBM 2025-02-04 system=TOS_Import exits=3 status=closed
OK: NG 2025-02-04 system=TOS_Import exits=1 status=closed
OK: CAH 2025-02-04 system=TOS_Import exits=3 status=closed
OK: CAH 2025-02-03 system=TOS_Import exits=3 status=closed
OK: AG 2025-01-31 system=TOS_Import exits=1 status=closed
OK: DSP 2025-01-31 system=TOS_Import exits=1 status=closed
OK: CCSI 2025-01-30 system=TOS_Import exits=2 status=closed
OK: OKLO 2025-01-29 system=TOS_Import exits=1 status=closed
OK: DCTH 2025-01-29 system=TOS_Import exits=1 status=closed
OK: BOWFF 2025-01-29 system=TOS_Import exits=1 status=closed
OK: YELP 2025-01-29 system=TOS_Import exits=2 status=closed
OK: OKLO 2025-01-28 system=TOS_Import exits=1 status=closed
OK: HOOD 2025-01-28 system=TOS_Import exits=3 status=closed
OK: BAC 2025-01-28 system=TOS_Import exits=2 status=closed
OK: ETON 2025-01-28 system=TOS_Import exits=1 status=closed
OK: WMG 2025-01-27 system=TOS_Import exits=1 status=closed
OK: RDW 2025-01-27 system=TOS_Import exits=1 status=closed
OK: BBY 2025-01-27 system=TOS_Import exits=3 status=closed
OK: GRRR 2025-01-27 system=TOS_Import exits=3 status=closed
OK: NNDM 2025-01-24 system=TOS_Import exits=1 status=closed
OK: FLR 2025-01-22 system=TOS_Import exits=1 status=closed
OK: WT 2025-01-22 system=TOS_Import exits=1 status=closed
OK: ACAD 2025-01-22 system=TOS_Import exits=1 status=closed
OK: AB 2025-01-22 system=TOS_Import exits=1 status=closed
OK: LNG 2025-01-21 system=TOS_Import exits=1 status=closed
OK: MOMO 2025-01-21 system=TOS_Import exits=1 status=closed
OK: COST 2025-01-21 system=TOS_Import exits=1 status=closed
OK: KR 2025-01-21 system=TOS_Import exits=3 status=closed
OK: SMTC 2025-01-17 system=TOS_Import exits=1 status=closed
OK: DJT 2025-01-17 system=TOS_Import exits=1 status=closed
OK: AXGN 2025-01-15 system=TOS_Import exits=1 status=closed
OK: UAL 2025-01-06 system=TOS_Import exits=2 status=closed
OK: ARQQ 2024-12-30 system=TOS_Import exits=1 status=closed
OK: GRRR 2024-12-30 system=TOS_Import exits=3 status=closed
OK: DDOG 2024-12-30 system=TOS_Import exits=2 status=closed
OK: QUBT 2024-12-27 system=TOS_Import exits=1 status=closed
OK: SOUN 2024-12-23 system=TOS_Import exits=3 status=closed
OK: SOUN 2024-12-23 system=TOS_Import exits=3 status=closed
OK: SCHW 2024-12-23 system=TOS_Import exits=3 status=closed
OK: QNTM 2024-12-20 system=TOS_Import exits=1 status=closed
OK: FEIM 2024-12-19 system=TOS_Import exits=1 status=closed
OK: XMTR 2024-12-18 system=TOS_Import exits=1 status=closed
OK: SMLR 2024-12-17 system=TOS_Import exits=2 status=closed
OK: SUPV 2024-12-17 system=TOS_Import exits=1 status=closed
OK: C 2024-12-16 system=TOS_Import exits=3 status=closed
OK: SOUN 2024-12-13 system=TOS_Import exits=3 status=closed
OK: RAND 2024-12-12 system=TOS_Import exits=2 status=closed
OK: SMLR 2024-12-12 system=TOS_Import exits=2 status=closed
OK: CRDO 2024-12-06 system=TOS_Import exits=1 status=closed
OK: TZUP 2024-12-05 system=TOS_Import exits=1 status=closed
OK: PLTR 2024-12-04 system=TOS_Import exits=3 status=partial
OK: COHR 2024-12-04 system=TOS_Import exits=1 status=closed
OK: KINS 2024-11-27 system=TOS_Import exits=1 status=closed
OK: ALGS 2024-11-22 system=TOS_Import exits=1 status=closed
OK: BITQ 2024-11-18 system=TOS_Import exits=1 status=closed
OK: ROOT 2024-11-18 system=TOS_Import exits=1 status=closed
OK: AMG 2024-11-15 system=TOS_Import exits=1 status=closed
OK: UPRO 2024-11-14 system=TOS_Import exits=1 status=closed
OK: FTNT 2024-11-13 system=TOS_Import exits=1 status=closed
OK: MCB 2024-11-12 system=TOS_Import exits=1 status=closed
OK: DYNF 2024-11-12 system=TOS_Import exits=1 status=closed
OK: INSG 2024-11-12 system=TOS_Import exits=1 status=closed
OK: CSV 2024-11-12 system=TOS_Import exits=2 status=closed
OK: CEIX 2024-11-12 system=TOS_Import exits=2 status=closed
OK: TILE 2024-11-07 system=TOS_Import exits=1 status=closed
OK: EDN 2024-11-06 system=TOS_Import exits=1 status=closed
OK: ANGI 2024-11-05 system=TOS_Import exits=1 status=closed
OK: CF 2024-11-05 system=TOS_Import exits=1 status=closed
OK: AMSC 2024-11-04 system=TOS_Import exits=1 status=closed
OK: TCBX 2024-10-29 system=TOS_Import exits=1 status=closed
OK: GE 2026-03-11 system=P_116 exits=2 status=closed
OK: XLE 2026-03-02 system=P_117 exits=2 status=closed
OK: AMKR 2026-02-26 system=P_116 exits=2 status=closed
OK: IBM 2026-02-24 system=P_117 exits=3 status=closed
OK: MDT 2026-02-24 system=P_117 exits=1 status=closed
OK: CMCSA 2026-02-23 system=P_117 exits=1 status=closed
OK: AMZN 2026-02-20 system=P_116 exits=3 status=closed
OK: CSCO 2026-02-18 system=TOS_Import exits=3 status=closed
OK: DAL 2026-02-18 system=TOS_Import exits=3 status=closed
OK: DAL 2026-02-18 system=TOS_Import exits=3 status=closed
OK: MCHP 2026-02-12 system=P_118 exits=1 status=closed
OK: CRML 2026-02-09 system=P_910 exits=1 status=closed
OK: GM 2026-02-09 system=TOS_Import exits=1 status=closed
OK: NU 2026-02-06 system=P_116 exits=1 status=closed
OK: ARR 2026-02-05 system=P_117 exits=1 status=closed
OK: GOOG 2026-01-26 system=P_118 exits=3 status=closed
OK: C 2026-01-26 system=TOS_Import exits=3 status=closed
OK: AA 2026-01-26 system=TOS_Import exits=1 status=closed
OK: RIG 2026-01-23 system=P_116 exits=1 status=closed
OK: NXT 2026-01-22 system=P_118 exits=1 status=closed
OK: F 2026-01-22 system=P_910 exits=2 status=closed
OK: ILMN 2026-01-21 system=P_118 exits=1 status=closed
OK: AMD 2026-01-20 system=P_117 exits=3 status=closed
OK: ABNB 2026-01-20 system=TOS_Import exits=1 status=closed
OK: NVDA 2026-01-16 system=P_117 exits=3 status=closed
OK: GLXY 2026-01-16 system=P_115 exits=1 status=closed
OK: MRVL 2026-01-12 system=TOS_Import exits=1 status=closed
OK: GOOG 2026-01-12 system=P_118 exits=3 status=closed
OK: HIMS 2026-01-07 system=P_115 exits=1 status=closed
OK: RGTI 2026-01-06 system=P_300 exits=3 status=closed
OK: TTD 2026-01-06 system=P_300 exits=2 status=closed
OK: COIN 2026-01-06 system=P_116 exits=1 status=closed
OK: M 2026-01-05 system=P_116 exits=2 status=closed
OK: ADM 2026-01-05 system=P_116 exits=3 status=closed
OK: QBTS 2026-01-02 system=P_115 exits=2 status=closed
OK: TWLO 2025-12-30 system=TOS_Import exits=1 status=closed
OK: WMT 2025-12-30 system=TOS_Import exits=3 status=closed
OK: URBN 2025-12-29 system=TOS_Import exits=1 status=closed
OK: AMKR 2025-12-23 system=TOS_Import exits=2 status=closed
OK: CW 2025-12-22 system=TOS_Import exits=1 status=closed
OK: NEE 2025-12-22 system=TOS_Import exits=2 status=closed
OK: INTC 2025-12-19 system=TOS_Import exits=3 status=closed
OK: INBS 2025-12-18 system=P_116 exits=1 status=closed
OK: DDOG 2025-12-15 system=TOS_Import exits=2 status=closed
OK: AAPL 2025-12-11 system=TOS_Import exits=3 status=closed
OK: JCI 2025-12-10 system=TOS_Import exits=2 status=closed
OK: SNAP 2025-12-08 system=TOS_Import exits=1 status=closed
OK: MRK 2025-12-08 system=TOS_Import exits=1 status=closed
OK: CSCO 2025-12-04 system=TOS_Import exits=3 status=closed
OK: GOOG 2025-12-04 system=TOS_Import exits=3 status=closed
OK: RGTI 2025-12-04 system=TOS_Import exits=3 status=closed
OK: ZTS 2025-12-01 system=TOS_Import exits=1 status=closed
OK: WBD 2025-11-28 system=TOS_Import exits=3 status=closed
OK: BEAM 2025-11-26 system=TOS_Import exits=1 status=closed
OK: REAL 2025-11-25 system=TOS_Import exits=1 status=closed
OK: C 2025-11-24 system=TOS_Import exits=3 status=closed
OK: AKAM 2025-11-21 system=TOS_Import exits=1 status=closed
OK: ANRO 2025-11-19 system=TOS_Import exits=1 status=closed
OK: SPY 2025-11-18 system=TOS_Import exits=3 status=closed
OK: DELL 2025-11-17 system=TOS_Import exits=2 status=closed
OK: SPY 2025-11-14 system=TOS_Import exits=3 status=closed
OK: DMRA 2025-11-11 system=TOS_Import exits=1 status=closed
OK: SWAG 2025-11-11 system=TOS_Import exits=1 status=closed
OK: GE 2025-11-11 system=TOS_Import exits=2 status=closed
OK: APVO 2025-11-10 system=TOS_Import exits=1 status=closed
OK: C 2025-11-10 system=TOS_Import exits=3 status=closed
OK: OPEN 2025-11-10 system=TOS_Import exits=1 status=closed
OK: F 2025-11-07 system=TOS_Import exits=2 status=closed
OK: RGTI 2025-11-03 system=TOS_Import exits=3 status=closed
OK: ETSY 2025-11-03 system=TOS_Import exits=1 status=closed
OK: DG 2025-10-27 system=TOS_Import exits=1 status=closed
OK: FLWS 2025-10-22 system=TOS_Import exits=1 status=closed
OK: DELL 2025-10-20 system=TOS_Import exits=2 status=closed
OK: QQQ 2025-10-15 system=TOS_Import exits=0 status=open
OK: SPY 2025-10-15 system=TOS_Import exits=3 status=closed
OK: C 2025-10-13 system=TOS_Import exits=3 status=closed
OK: USAR 2025-10-13 system=TOS_Import exits=2 status=closed
OK: ZSPC 2025-10-09 system=TOS_Import exits=1 status=closed
OK: SOFI 2025-10-08 system=TOS_Import exits=3 status=closed
OK: RXRX 2025-10-08 system=TOS_Import exits=1 status=closed
OK: IONQ 2025-10-07 system=TOS_Import exits=1 status=closed
OK: WULF 2025-10-07 system=TOS_Import exits=1 status=closed
OK: RIOT 2025-10-07 system=TOS_Import exits=1 status=closed
OK: CLSK 2025-10-07 system=TOS_Import exits=1 status=closed
OK: SOFI 2025-10-06 system=TOS_Import exits=3 status=closed
OK: SOFI 2025-10-06 system=TOS_Import exits=3 status=closed
OK: VLO 2025-10-06 system=TOS_Import exits=1 status=closed
OK: TIGO 2025-10-03 system=TOS_Import exits=2 status=closed
OK: XYZ 2025-09-29 system=TOS_Import exits=1 status=closed
OK: FUTU 2025-09-25 system=TOS_Import exits=2 status=closed
OK: YUM 2025-09-23 system=TOS_Import exits=1 status=closed
OK: DOMH 2025-09-23 system=TOS_Import exits=1 status=closed
OK: ANET 2025-09-19 system=TOS_Import exits=2 status=closed
OK: DOCU 2025-09-18 system=TOS_Import exits=3 status=closed
OK: LUNR 2025-09-17 system=TOS_Import exits=1 status=closed
OK: LEVI 2025-09-16 system=TOS_Import exits=2 status=closed
OK: LMND 2025-09-15 system=TOS_Import exits=3 status=closed
OK: AFRM 2025-09-15 system=TOS_Import exits=1 status=closed
OK: IRM 2025-09-10 system=TOS_Import exits=2 status=closed
OK: ADM 2025-09-08 system=TOS_Import exits=3 status=closed
OK: CSCO 2025-09-08 system=TOS_Import exits=3 status=closed
OK: WRAP 2025-09-02 system=TOS_Import exits=2 status=closed
OK: BTAI 2025-09-02 system=TOS_Import exits=1 status=closed
OK: TMUS 2025-09-02 system=TOS_Import exits=1 status=closed
OK: APPS 2025-08-27 system=TOS_Import exits=1 status=closed
OK: AAPL 2025-08-27 system=TOS_Import exits=3 status=partial
OK: RDDT 2025-08-26 system=TOS_Import exits=1 status=closed
OK: APH 2025-08-22 system=TOS_Import exits=3 status=closed
OK: TME 2025-08-22 system=TOS_Import exits=1 status=closed
OK: CMCL 2025-08-22 system=TOS_Import exits=1 status=closed
OK: OPFI 2025-08-21 system=TOS_Import exits=2 status=closed
OK: ISPC 2025-08-21 system=TOS_Import exits=1 status=closed
==================================================
Inserted: 371  Skipped: 0  Orphans: 0
